"STREET_ID","STREET_NAME","STREET_TYPE","ROAD_LEVEL","CREATED_AT","IS_DELETED","UPDATED_AT"
"342",Đường số 7A,tertiary,4,2026-05-18 00:00:00.000,0,2026-05-24 05:44:41.000
"343",Đường số 1,unclassified,4,2026-05-18 00:00:00.000,0,2026-05-24 05:44:41.000
"344",Dương Đình Hội,tertiary,4,2026-05-18 00:00:00.000,0,2026-05-24 05:44:41.000
"345",Lâm Văn Bền,tertiary,4,2026-05-18 00:00:00.000,0,2026-05-24 05:44:41.000
"346",Độc Lập,unclassified,4,2026-05-18 00:00:00.000,0,2026-05-24 05:44:41.000
"347",Nguyễn Thị Tú,secondary,3,2026-05-18 00:00:00.000,0,2026-05-24 05:44:41.000
"348",Hiền Vương,tertiary,4,2026-05-18 00:00:00.000,0,2026-05-24 05:44:41.000
"349",Lưu Hữu Phước,unclassified,4,2026-05-18 00:00:00.000,0,2026-05-24 05:44:41.000
"350",Nguyễn Biểu,tertiary,4,2026-05-18 00:00:00.000,0,2026-05-24 05:44:41.000
"351",Đường số 2,unclassified,4,2026-05-18 00:00:00.000,0,2026-05-24 05:44:41.000
"352",Đường số 1,tertiary,4,2026-05-18 00:00:00.000,0,2026-05-24 05:44:41.000
"353",Đường số 6,tertiary,4,2026-05-18 00:00:00.000,0,2026-05-24 05:44:41.000
"354",Thăng Long,tertiary,4,2026-05-18 00:00:00.000,0,2026-05-24 05:44:41.000
"355",,unclassified,4,2026-05-18 00:00:00.000,0,2026-05-24 05:44:41.000
"356",Đường số 3,unclassified,4,2026-05-18 00:00:00.000,0,2026-05-24 05:44:41.000
"357",Lý Thường Kiệt,primary,2,2026-05-18 00:00:00.000,0,2026-05-24 05:44:41.000
"358",Phan Thúc Duyện,tertiary,4,2026-05-18 00:00:00.000,0,2026-05-24 05:44:41.000
"359",,unclassified,4,2026-05-18 00:00:00.000,0,2026-05-24 05:44:41.000
"360",Lê Hồng Phong,tertiary,4,2026-05-18 00:00:00.000,0,2026-05-24 05:44:41.000
"361",Nguyễn Tuyển,unclassified,4,2026-05-18 00:00:00.000,0,2026-05-24 05:44:41.000
"362",Xuân Thới Sơn 21,tertiary,4,2026-05-18 00:00:00.000,0,2026-05-24 05:44:41.000
"363",Lê Thị Hà,unclassified,4,2026-05-18 00:00:00.000,0,2026-05-24 05:44:41.000
"364",Lê Văn Thọ,secondary,3,2026-05-18 00:00:00.000,0,2026-05-24 05:44:41.000
"365",Ngô Tất Tố,tertiary,4,2026-05-18 00:00:00.000,0,2026-05-24 05:44:41.000
"366",Quách Điêu,secondary,3,2026-05-18 00:00:00.000,0,2026-05-24 05:44:41.000
"367",Cầu B1,tertiary,4,2026-05-18 00:00:00.000,0,2026-05-24 05:44:41.000
"368",Lê Văn Thọ,secondary,3,2026-05-18 00:00:00.000,0,2026-05-24 05:44:41.000
"369",Nguyễn Xuân Khoát,unclassified,4,2026-05-18 00:00:00.000,0,2026-05-24 05:44:41.000
"370",Nguyễn Xuân Khoát,unclassified,4,2026-05-18 00:00:00.000,0,2026-05-24 05:44:41.000
"371",Dồng Tâm,unclassified,4,2026-05-18 00:00:00.000,0,2026-05-24 05:44:41.000
"372",Nguyễn Văn Hưởng,tertiary,4,2026-05-18 00:00:00.000,0,2026-05-24 05:44:41.000
"373",Tân Xuân 2,unclassified,4,2026-05-18 00:00:00.000,0,2026-05-24 05:44:41.000
"374",Ngô Nhân Tịnh,tertiary,4,2026-05-18 00:00:00.000,0,2026-05-24 05:44:41.000
"375",Bùi Hữu Nghĩa,tertiary,4,2026-05-18 00:00:00.000,0,2026-05-24 05:44:41.000
"376",Phan Đăng Lưu,primary,2,2026-05-18 00:00:00.000,0,2026-05-24 05:44:41.000
"377",Cầu Chữ Y,tertiary,4,2026-05-18 00:00:00.000,0,2026-05-24 05:44:41.000
"378",Nguyễn Thái Sơn,primary,2,2026-05-18 00:00:00.000,0,2026-05-24 05:44:41.000
"379",Bạch Đằng,secondary,3,2026-05-18 00:00:00.000,0,2026-05-24 05:44:41.000
"380",Phạm Thế Hiển,tertiary,4,2026-05-18 00:00:00.000,0,2026-05-24 05:44:41.000
"381",Phạm Thế Hiển,tertiary,4,2026-05-18 00:00:00.000,0,2026-05-24 05:44:41.000
"382",Phạm Thế Hiển,tertiary,4,2026-05-18 00:00:00.000,0,2026-05-24 05:44:41.000
"383",Phan Xích Long,tertiary,4,2026-05-18 00:00:00.000,0,2026-05-24 05:44:41.000
"384",Quang Trung,primary,2,2026-05-18 00:00:00.000,0,2026-05-24 05:44:41.000
"385",Tỉnh lộ 43,trunk_link,3,2026-05-18 00:00:00.000,0,2026-05-24 05:44:41.000
"386",Hồ Học Lãm,tertiary,4,2026-05-18 00:00:00.000,0,2026-05-24 05:44:41.000
"387",Đào Duy Anh,tertiary,4,2026-05-18 00:00:00.000,0,2026-05-24 05:44:41.000
"388",Trần Hưng Đạo,unclassified,4,2026-05-18 00:00:00.000,0,2026-05-24 05:44:41.000
"389",Hẻm 85 Bùi Minh Trực,unclassified,4,2026-05-18 00:00:00.000,0,2026-05-24 05:44:41.000
"390",Tô Hiến Thành,tertiary,4,2026-05-18 00:00:00.000,0,2026-05-24 05:44:41.000
"391",Xô Viết Nghệ Tĩnh,tertiary,4,2026-05-18 00:00:00.000,0,2026-05-24 05:44:41.000
"392",Võ Thị Hồi,tertiary,4,2026-05-18 00:00:00.000,0,2026-05-24 05:44:41.000
"393",Xóm Chiếu,unclassified,4,2026-05-18 00:00:00.000,0,2026-05-24 05:44:41.000
"394",Bình Trị Đông,tertiary,4,2026-05-18 00:00:00.000,0,2026-05-24 05:44:41.000
"395",Trần Quý,tertiary,4,2026-05-18 00:00:00.000,0,2026-05-24 05:44:41.000
"396",Nguyễn Văn Đậu,tertiary,4,2026-05-18 00:00:00.000,0,2026-05-24 05:44:41.000
"397",Nguyễn Thị Nhỏ,tertiary,4,2026-05-18 00:00:00.000,0,2026-05-24 05:44:41.000
"398",Trần Văn Mười,tertiary,4,2026-05-18 00:00:00.000,0,2026-05-24 05:44:41.000
"399",Nguyễn Thần Hiến,unclassified,4,2026-05-18 00:00:00.000,0,2026-05-24 05:44:41.000
"400",Hùng Vương,primary,2,2026-05-18 00:00:00.000,0,2026-05-24 05:44:41.000
"401",Tân Sơn Nhì,unclassified,4,2026-05-18 00:00:00.000,0,2026-05-24 05:44:41.000
"402",Hoàng Hữu Nam,secondary,3,2026-05-18 00:00:00.000,0,2026-05-24 05:44:41.000
"403",Cách Mạng Tháng Tám,primary,2,2026-05-18 00:00:00.000,0,2026-05-24 05:44:41.000
"404",Tam Hà,unclassified,4,2026-05-18 00:00:00.000,0,2026-05-24 05:44:41.000
"405",Bùi Hữu Nghĩa,tertiary,4,2026-05-18 00:00:00.000,0,2026-05-24 05:44:41.000
"406",,unclassified,4,2026-05-18 00:00:00.000,0,2026-05-24 05:44:41.000
"407",Tỉnh lộ 43,secondary,3,2026-05-18 00:00:00.000,0,2026-05-24 05:44:41.000
"408",Hoài Thanh,unclassified,4,2026-05-18 00:00:00.000,0,2026-05-24 05:44:41.000
"409",Huỳnh Thiện Lộc,unclassified,4,2026-05-18 00:00:00.000,0,2026-05-24 05:44:41.000
"410",Lương Định Của,tertiary,4,2026-05-18 00:00:00.000,0,2026-05-24 05:44:41.000
"411",Trần Văn Trà,tertiary,4,2026-05-18 00:00:00.000,0,2026-05-24 05:44:41.000
"412",Đường số 24,unclassified,4,2026-05-18 00:00:00.000,0,2026-05-24 05:44:41.000
"413",Nguyễn Tri Phương,tertiary,4,2026-05-18 00:00:00.000,0,2026-05-24 05:44:41.000
"414",Bành Văn Trân,tertiary,4,2026-05-18 00:00:00.000,0,2026-05-24 05:44:41.000
"415",,tertiary,4,2026-05-18 00:00:00.000,0,2026-05-24 05:44:41.000
"416",Tô Ngọc Vân,tertiary,4,2026-05-18 00:00:00.000,0,2026-05-24 05:44:41.000
"417",Bình Trưng,unclassified,4,2026-05-18 00:00:00.000,0,2026-05-24 05:44:41.000
"418",Phan Văn Đối,tertiary,4,2026-05-18 00:00:00.000,0,2026-05-24 05:44:41.000
"419",Trung Mỹ - Tân Xuân,tertiary,4,2026-05-18 00:00:00.000,0,2026-05-24 05:44:41.000
"420",Trung Mỹ - Tân Xuân,tertiary,4,2026-05-18 00:00:00.000,0,2026-05-24 05:44:41.000
"421",Đường Nguyễn Gia Trí,tertiary,4,2026-05-18 00:00:00.000,0,2026-05-24 05:44:41.000
"422",Phạm Văn Sáng,tertiary,4,2026-05-18 00:00:00.000,0,2026-05-24 05:44:41.000
"423",Thống Nhất,tertiary,4,2026-05-18 00:00:00.000,0,2026-05-24 05:44:41.000
"424",Tỉnh Lộ 10,secondary,3,2026-05-18 00:00:00.000,0,2026-05-24 05:44:41.000
"425",Cầu vượt An Sương,trunk,1,2026-05-18 00:00:00.000,0,2026-05-24 05:44:41.000
"426",Cầu Suối Cái,trunk,1,2026-05-18 00:00:00.000,0,2026-05-24 05:44:41.000
"427",Xa Lộ Hà Nội,trunk,1,2026-05-18 00:00:00.000,0,2026-05-24 05:44:41.000
"428",Lê Văn Chí,tertiary,4,2026-05-18 00:00:00.000,0,2026-05-24 05:44:41.000
"429",Cầu Bến Nọc,tertiary,4,2026-05-18 00:00:00.000,0,2026-05-24 05:44:41.000
"430",Lê Văn Việt,tertiary,4,2026-05-18 00:00:00.000,0,2026-05-24 05:44:41.000
"431",Nguyễn Xiển,secondary,3,2026-05-18 00:00:00.000,0,2026-05-24 05:44:41.000
"432",Nguyễn Xiển,secondary,3,2026-05-18 00:00:00.000,0,2026-05-24 05:44:41.000
"433",Nguyễn Xiển,secondary,3,2026-05-18 00:00:00.000,0,2026-05-24 05:44:41.000
"434",Nguyễn Xiển,secondary,3,2026-05-18 00:00:00.000,0,2026-05-24 05:44:41.000
"435",Long Phước,unclassified,4,2026-05-18 00:00:00.000,0,2026-05-24 05:44:41.000
"436",Cầu Trao Trảo,tertiary,4,2026-05-18 00:00:00.000,0,2026-05-24 05:44:41.000
"437",Nguyễn Xiển,tertiary,4,2026-05-18 00:00:00.000,0,2026-05-24 05:44:41.000
"438",Cầu Gò Công,tertiary,4,2026-05-18 00:00:00.000,0,2026-05-24 05:44:41.000
"439",Nguyễn Xiển,tertiary,4,2026-05-18 00:00:00.000,0,2026-05-24 05:44:41.000
"440",Cầu Rạch Gầm,tertiary,4,2026-05-18 00:00:00.000,0,2026-05-24 05:44:41.000
"441",Nguyễn Xiển,tertiary,4,2026-05-18 00:00:00.000,0,2026-05-24 05:44:41.000
"442",Cầu Võ Khế,tertiary,4,2026-05-18 00:00:00.000,0,2026-05-24 05:44:41.000
"443",Nguyễn Duy Trinh,tertiary,4,2026-05-18 00:00:00.000,0,2026-05-24 05:44:41.000
"444",Bưng Ông Thoàn,tertiary,4,2026-05-18 00:00:00.000,0,2026-05-24 05:44:41.000
"445",Cầu Ông Nhiêu,tertiary,4,2026-05-18 00:00:00.000,0,2026-05-24 05:44:41.000
"446",Cầu Xây dựng,secondary,3,2026-05-18 00:00:00.000,0,2026-05-24 05:44:41.000
"447",Nguyễn Duy Trinh,secondary,3,2026-05-18 00:00:00.000,0,2026-05-24 05:44:41.000
"448",Cầu Rạch Chiếc 2,trunk,1,2026-05-18 00:00:00.000,0,2026-05-24 05:44:41.000
"449",Xa lộ Hà Nội,trunk,1,2026-05-18 00:00:00.000,0,2026-05-24 05:44:41.000
"450",,tertiary,4,2026-05-18 00:00:00.000,0,2026-05-24 05:44:41.000
"451",Lê Văn Khương,secondary,3,2026-05-18 00:00:00.000,0,2026-05-24 05:44:41.000
"452",Cầu Bình Phước 1,tertiary,4,2026-05-18 00:00:00.000,0,2026-05-24 05:44:41.000
"453",Cầu Vĩnh Bình,trunk,1,2026-05-18 00:00:00.000,0,2026-05-24 05:44:41.000
"454",Cầu vượt Bình Phước,trunk,1,2026-05-18 00:00:00.000,0,2026-05-24 05:44:41.000
"455",Quốc lộ 22,primary,2,2026-05-18 00:00:00.000,0,2026-05-24 05:44:41.000
"456",Nguyễn Văn Bứa,secondary,3,2026-05-18 00:00:00.000,0,2026-05-24 05:44:41.000
"457",,unclassified,4,2026-05-18 00:00:00.000,0,2026-05-24 05:44:41.000
"458",Đồng Văn Cống,primary,2,2026-05-18 00:00:00.000,0,2026-05-24 05:44:41.000
"459",Quốc lộ 1,trunk,1,2026-05-18 00:00:00.000,0,2026-05-24 05:44:41.000
"460",Cầu Gò Dưa,secondary,3,2026-05-18 00:00:00.000,0,2026-05-24 05:44:41.000
"461",Kha Vạn Cân,tertiary,4,2026-05-18 00:00:00.000,0,2026-05-24 05:44:41.000
"462",Cầu Ông Dầu,primary,2,2026-05-18 00:00:00.000,0,2026-05-24 05:44:41.000
"463",Cầu Cả Bốn 1,trunk,1,2026-05-18 00:00:00.000,0,2026-05-24 05:44:41.000
"464",Quốc lộ 1,trunk,1,2026-05-18 00:00:00.000,0,2026-05-24 05:44:41.000
"465",Cầu Ga 1A,trunk,1,2026-05-18 00:00:00.000,0,2026-05-24 05:44:41.000
"466",Cầu Rạch Sâu 1,trunk,1,2026-05-18 00:00:00.000,0,2026-05-24 05:44:41.000
"467",Cầu Bến Cát 1,trunk,1,2026-05-18 00:00:00.000,0,2026-05-24 05:44:41.000
"468",Cầu An Phú Đông 1,trunk,1,2026-05-18 00:00:00.000,0,2026-05-24 05:44:41.000
"469",Cầu vượt Ngã Tư Ga,primary,2,2026-05-18 00:00:00.000,0,2026-05-24 05:44:41.000
"470",Cầu cụt,secondary,3,2026-05-18 00:00:00.000,0,2026-05-24 05:44:41.000
"471",Lê Đức Thọ,tertiary,4,2026-05-18 00:00:00.000,0,2026-05-24 05:44:41.000
"472",Cầu Trường Đai,secondary,3,2026-05-18 00:00:00.000,0,2026-05-24 05:44:41.000
"473",Lê Đức Thọ,secondary,3,2026-05-18 00:00:00.000,0,2026-05-24 05:44:41.000
"474",Cầu Bến Phân,tertiary,4,2026-05-18 00:00:00.000,0,2026-05-24 05:44:41.000
"475",Tô Ngọc Vân,tertiary,4,2026-05-18 00:00:00.000,0,2026-05-24 05:44:41.000
"476",Cầu An Lộc,primary,2,2026-05-18 00:00:00.000,0,2026-05-24 05:44:41.000
"477",Hà Huy Giáp,primary,2,2026-05-18 00:00:00.000,0,2026-05-24 05:44:41.000
"478",Cầu Đỏ,tertiary,4,2026-05-18 00:00:00.000,0,2026-05-24 05:44:41.000
"479",Nguyễn Xí,tertiary,4,2026-05-18 00:00:00.000,0,2026-05-24 05:44:41.000
