"STATUS_ID","SEGMENT_ID","VELOCITY","RECORDED_AT"
"37805","47407",1,2020-08-10 02:59:15.000
"37806","47407",2,2020-08-10 02:59:27.000
"37807","47407",1,2020-08-10 02:59:39.000
"37808","47407",1,2020-08-10 02:59:51.000
"37809","47407",1,2020-08-10 03:00:03.000
"37810","47407",1,2020-08-10 03:00:15.000
"37811","47407",3,2020-08-10 03:00:26.000
"37812","47407",3,2020-08-10 03:00:39.000
"37813","47407",2,2020-08-10 03:00:49.000
"37814","47407",1,2020-08-10 03:01:04.000
"37815","47407",1,2020-08-10 03:01:16.000
"37816","47407",1,2020-08-10 03:01:28.000
"37817","47407",1,2020-08-10 03:01:40.000
"37818","47407",1,2020-08-10 03:01:52.000
"37819","47407",1,2020-08-10 03:02:00.000
"37820","47407",2,2020-08-10 03:02:16.000
"37821","47407",4,2020-08-10 03:02:28.000
"37822","47407",1,2020-08-10 03:02:40.000
"37823","47407",1,2020-08-10 03:02:52.000
"37824","47407",1,2020-08-10 03:03:05.000
"37825","47407",1,2020-08-10 03:03:17.000
"37826","47407",1,2020-08-10 03:03:29.000
"37827","47407",1,2020-08-10 03:03:41.000
"37828","47407",1,2020-08-10 03:03:53.000
"37829","47407",2,2020-08-10 03:04:06.000
"37830","47407",2,2020-08-10 03:04:18.000
"37831","47407",1,2020-08-10 03:04:30.000
"37832","47407",1,2020-08-10 03:04:42.000
"37833","47407",1,2020-08-10 03:04:55.000
"37834","47407",1,2020-08-10 03:05:07.000
"37835","47407",1,2020-08-10 03:05:19.000
"37836","47407",1,2020-08-10 03:05:31.000
"37837","47407",1,2020-08-10 03:05:44.000
"37838","47407",1,2020-08-10 03:05:56.000
"37839","47407",1,2020-08-10 03:06:08.000
"37840","47407",1,2020-08-10 03:06:20.000
"37841","47407",1,2020-08-10 03:06:32.000
"37842","47407",1,2020-08-10 03:06:44.000
"37843","47407",1,2020-08-10 03:06:56.000
"37844","47407",1,2020-08-10 03:16:58.000
"37845","39280",1,2020-08-11 06:17:48.000
"37846","39280",1,2020-08-11 06:17:55.000
"37847","39280",1,2020-08-11 06:18:07.000
"37848","39280",1,2020-08-11 06:18:15.000
"37849","39280",1,2020-08-11 06:18:27.000
"37850","39280",1,2020-08-11 06:18:40.000
"37851","39280",1,2020-08-11 06:18:52.000
"37852","39280",1,2020-08-11 06:19:05.000
"37853","39280",1,2020-08-11 06:19:18.000
"37854","39280",1,2020-08-11 06:19:30.000
"37855","39280",1,2020-08-11 06:19:42.000
"37856","39280",1,2020-08-11 06:19:55.000
"37857","39280",1,2020-08-11 06:43:38.000
"37858","39280",1,2020-08-11 06:43:49.000
"37859","39280",1,2020-08-11 06:44:02.000
"37860","39280",1,2020-08-11 06:44:14.000
"37861","39280",1,2020-08-11 06:44:24.000
"37862","39280",1,2020-08-11 06:45:13.000
"37863","39280",1,2020-08-11 06:45:20.000
"37864","39280",1,2020-08-11 06:45:32.000
"37865","39280",1,2020-08-11 06:45:40.000
"37866","39280",1,2020-08-11 06:45:52.000
"37867","39280",1,2020-08-11 06:46:01.000
"37868","39280",1,2020-08-11 06:46:12.000
"37869","39280",1,2020-08-11 06:46:20.000
"37870","39280",1,2020-08-11 06:46:32.000
"37871","39280",1,2020-08-11 06:46:45.000
"37872","39280",1,2020-08-11 06:46:54.000
"37873","39280",1,2020-08-11 06:47:12.000
"37874","39280",1,2020-08-11 06:47:19.000
"37875","39280",1,2020-08-11 06:47:32.000
"37876","23782",20,2020-08-30 05:28:21.000
"37877","23297",32,2020-09-10 13:06:04.000
"37878","23306",31,2020-09-10 13:06:17.000
"37879","23310",31,2020-09-10 13:06:32.000
"37880","23314",35,2020-09-10 13:06:41.000
"37881","23320",33,2020-09-10 13:06:53.000
"37882","23326",35,2020-09-10 13:07:05.000
"37883","23332",35,2020-09-10 13:07:17.000
"37884","23339",39,2020-09-10 13:07:29.000
"37885","23342",37,2020-09-10 13:07:41.000
"37886","23346",45,2020-09-10 13:07:53.000
"37887","23346",43,2020-09-10 13:08:05.000
"37888","23348",35,2020-09-10 13:08:17.000
"37889","23350",54,2020-09-10 13:08:30.000
"37890","23351",38,2020-09-10 13:08:42.000
"37891","23356",43,2020-09-10 13:08:54.000
"37892","23356",48,2020-09-10 13:09:03.000
"37893","23358",38,2020-09-10 13:09:20.000
"37894","23368",44,2020-09-10 13:09:28.000
"37895","23376",47,2020-09-10 13:09:40.000
"37896","23378",47,2020-09-10 13:09:51.000
"37897","23380",42,2020-09-10 13:10:07.000
"37898","23382",1,2020-09-10 13:10:17.000
"37899","23382",100,2020-09-10 13:10:27.000
"37900","23388",47,2020-09-10 13:10:40.000
"37901","23390",49,2020-09-10 13:10:52.000
"37902","23390",49,2020-09-10 13:11:04.000
"37903","23392",43,2020-09-10 13:11:15.000
"37904","23394",38,2020-09-10 13:11:28.000
"37905","23394",32,2020-09-10 13:11:40.000
"37906","44244",27,2020-09-10 13:11:51.000
"37907","44242",38,2020-09-10 13:12:04.000
"37961","43291",46,2020-09-10 13:23:16.000
"37908","44242",49,2020-09-10 13:12:15.000
"37909","44242",37,2020-09-10 13:12:28.000
"37910","44236",43,2020-09-10 13:12:40.000
"37911","44230",52,2020-09-10 13:12:52.000
"37912","44228",49,2020-09-10 13:13:04.000
"37913","44228",41,2020-09-10 13:13:17.000
"37914","43281",43,2020-09-10 13:13:40.000
"37915","43277",63,2020-09-10 13:13:51.000
"37916","43275",50,2020-09-10 13:14:04.000
"37917","43273",51,2020-09-10 13:14:16.000
